userId,nickname,avatarUrl,content,likedCount,time
120573385,S0NDER-,http://p2.music.126.net/JRP1NcoMvJqYa7juggDYYw==/109951163081631909.jpg,"小时候家里养过一只猫和一只狗 
狗总是被猫欺负 不是狗憨厚 而是斗不过猫 
比如猫藏在鞋盒偷袭狗 狗只能绕着鞋盒转圈 
后来狗去世了 猫没看见它去世的样子 只是没见狗回来 
半年过去了 有天我故意在门口喊了声狗的名字 猫从屋里飞奔到门口左右张望（转）",71964,2016-11-07 22:57:09
97857965,坏人苏,http://p2.music.126.net/PGT0_2p1e0glOXOVwD8Rsw==/19128203788552825.jpg,一首好听而没人的歌，犹如一杯私藏的美酒[爱心],24695,2016-01-05 23:27:57
133606241,片片片片piece,http://p2.music.126.net/hegwAT8upwdfVKTl_FE-pw==/18638921116128701.jpg,"同样是动物,我想变成猫感觉好温暖,我想变成狗就感觉怪怪的",22503,2016-11-06 10:41:04
325790011,质子小姐,http://p2.music.126.net/9PZolt2fXOtuay2QHKKViQ==/109951164140303979.jpg,我家的猫治好了我的抑郁症。她来到我身边后我再也没有自残过，失眠的时候跟她一起睡得很安稳。,16897,2017-05-16 19:16:23
42550314,开始早睡早起的小喵,http://p2.music.126.net/oFlOxtKYTUCRTXeLyHjctA==/3428277256639648.jpg,啊好讨厌，睡之前听了这一首歌竟然泪流满面。大概只有养过很多年喵，才真的懂一只喵的陪伴究竟是什么。大概只有真的很喜欢过一个人，才明白为什么会这么想哭。,15353,2015-12-15 00:40:24
102482027,_vacua,http://p2.music.126.net/6wePwxlzdoVBSMcijsDF8Q==/109951164424416254.jpg,曾经有过9年的养猫经历，听着这首歌，仿佛它还是小小只，窝在我的怀里。想起了想很多人都体会过独生子女的童年，不是没有小伙伴一起玩，只是，绝大多数还是一个人。我的童年大多是猫咪陪伴我的。我慢慢的长大，它一天天变老，永远留在了回忆里。那之后，再没养过猫，现在已经22岁了，还会梦到它。,11383,2016-06-08 09:37:06
293433607,吉米林的书很豪华,http://p2.music.126.net/rVNIWEaWmsl1lVHrJpgNxw==/109951164329979944.jpg,小学的时候有次上学我家小花老是追我，我就赶它回家，眼看消失了我才上学去了，没想到的是它居然跟到了班级，我特尴尬上课抱着猫。。是的上课抱着猫。。。不过现在想想当时也特怀念。可是现在我也不知道它还能活多久。我真的特别爱猫，外表高冷的猫[亲亲],9918,2017-01-14 02:16:29
266821639,见习污师,http://p2.music.126.net/3-6omBgPUbUND83LbwU75A==/109951162856206609.jpg,学日语最先会的词就是「ねこ」    喜欢一切和猫有关的东西 想毕业后和男朋友 和猫一起生活      美好的三口之家呐( •̀∀•́ )      话说回来...男朋友和猫咪我都没有......,8342,2017-02-05 20:15:35
119128196,新干线希望号,http://p2.music.126.net/j9oVGywnc-JsNh7Q0giwxg==/109951164433642960.jpg,我弹着尤克里里 你躺在我臂弯里像只小猫 这一切太完美~,5535,2016-05-23 15:12:08
88774940,AC茶发,http://p2.music.126.net/eJfs3lA890VSg8liPllTRQ==/109951163918200076.jpg,冬天的夜晚，你钻进被窝里枕着我的手臂，蜷起来的毛茸茸的背紧贴我的肚子，惬意的呼噜回响在我的耳边，而窗外下起了小雪。这是我们一起度过的第二个冬天，在收养你以后，我逐渐领悟到幸福藏在生活中许许多多小事中，以后也互相关照吧。,3839,2017-01-23 22:16:45
286317740,匡白g,http://p2.music.126.net/zk7ppOYiAVvQkBnjtyrsHg==/109951163152702887.jpg,你要是想亲吻我就别只是抚摸我的脸颊，你要是想拥抱我就别只是拨弄我的胡须，人家一打盹就那可恶的鱼片诱惑我，明明是高冷女神的我怎么一到你怀里就变成了小猫咪。说好了照顾人家一辈子就不要半途而废呀，你还有恋人和朋友，我只有你呀。-------来自一直爱你的小猫。,3716,2017-06-09 13:26:02
77831292,帐号已注销,http://p2.music.126.net/RLeBJe4D1ZzUtltxfoKDMg==/109951163250239066.jpg,室友问我为什么要听一些日文歌，歌词听不懂不明白想表达什么。大概是语言的原因吧，总觉得日语韩语很温柔，听不懂也无妨。就似听到了家乡话，浊音很多。,3540,2017-06-16 20:18:05
337298657,--酒蛋加奶--,http://p2.music.126.net/w16GDVXkJCWRVT1UqcOh6w==/109951164256852746.jpg,下辈子想要变成猫，这样跟着你你才不会反感吧,2887,2018-05-13 16:03:54
82262507,雪落三更,http://p2.music.126.net/gMJauFiP2UeSgvtmi-mE6Q==/2537672839951699.jpg,不用变啊，老妈养的单身狗了解一下,2217,2018-12-20 23:28:03
345125107,我是笑颜控哟,http://p2.music.126.net/0puPrAgkKmGXNyhLJbDMyg==/1418370016414434.jpg,"花色奇怪，眼里充满恐惧与逃离，不粘人，身上的毛很硬，抱着一定不舒服。可是，他还是想要带她回家啊，每天悉心照顾，不顾她冷漠的背影和逃避的眼神。或许她渐渐放下戒备啦～
hi，我想当你的猫了。",1941,2018-05-14 00:35:34
534863818,侯科长,http://p2.music.126.net/5DRcP9hHsn2oRrxqh59g5g==/109951164144293875.jpg,这声音感觉好安心，瞬间觉得生活上的一切都能先放在一边，放松那么一会,0,2019-12-19 20:23:23
1617891603,一盞昏黃不明的燈,http://p2.music.126.net/m2nMCtrpZMbdwiOjeMaGcw==/109951164567740134.jpg,先把尤克麗麗練了再養隻貓，然後等你來,0,2019-12-19 19:57:38
49173208,靳廿四,http://p2.music.126.net/hTVqly5OreR4qsdevo02Pw==/109951164531258595.jpg,[呲牙],0,2019-12-19 12:34:39
1424748083,舒克舒克哦,http://p2.music.126.net/BjzJaV2K9p2YaZC3UCDa5Q==/109951164489998829.jpg,哈哈哈还好还好哈哈哈赞！,0,2019-12-19 11:58:03
1496233168,最初的声音不曾改变,http://p2.music.126.net/-EfHyFuuDZEK6VW6GUXknQ==/109951164567017048.jpg,为什么听这首歌总能想到雪乃。,0,2019-12-19 11:04:01
